URLs,Frequency
usat.ly/2xuVkYR,78
yahoo.com/styl,32
washex.am/2xuqi,15
washex.am/2wm91,13
washex.am/2x1dA,6
yahoo.com/styl,4
ca.yahoo.com/st,4
ift.tt/2gmwGpr,3
yahoo.com/styl,3
yahoo.com/news,2
nytimes.com/20,2
ift.tt/eA8V8J,1
twitter.com/i/w,1
twitter.com/i/w,1
twitter.com/i/w,1
twitter.com/i/w,1
twitter.com/lag,1
twitter.com/i/w,1
twitter.com/i/w,1
twitter.com/i/w,1
feedproxy.googl,1
usat.ly/2vvH157,1
ow.ly/2kbO50dJ5,1
ow.ly/dQnj50dJ5,1
ift.tt/2wfthxS,1
ow.ly/8Wao50dJ5,1
ow.ly/Zf9v50dJ5,1
ow.ly/5y5A50dJ5,1
ow.ly/Ce9B50dJ5,1
ow.ly/Ws3W50dJ5,1
ift.tt/2iGeGXR,1
ow.ly/SwUw50dJ6,1
ow.ly/EivU50dJ6,1
ow.ly/oA4X50dJ9,1
ow.ly/WeqG50dJ9,1
abcn.ws/2wFzXqi,1
cmhconsultancy.,1
ow.ly/esJe50dJc,1
ow.ly/AvLy50dJd,1
yahoo.com/news,1
yahoo.com/news,1
freerepublic.c,1
yahoo.com/news,1
hollywoodlife.c,1
yahoo.com/styl,1
yahoo.com/styl,1
yahoo.com/news,1
a.msn.com/01/en,1
twitter.com/i/w,1
m.sfgate.com/en,1
nytimes.com/20,1
fb.me/8Tuh7rxb2,1
nytimes.com/20,1
